No.	A	->	B		C		D	Left side feats	Right side feats	Scope	Hits	Reliability	Confidence	examples	exceptions
2622	e	->	y	/	X at	__	 y	[]	[]	17	6	0.353	0.272	atent, aterr, atest, ates, desatent, desaterr	atenw, patent, pate, gate, regate, olfate, garabate, koNkaten, pirate, bate, prorrate
2162	e	->	y	/	X as	__	r y	[]	[]	8	3	0.375	0.267	asert, aserr, desasert	aserk, eksaserb, aser, maser, laser
142	e	->	y	/	X f	__	s y	[]	[]	5	2	0.4	0.254	manifest, konfes	profes, infest, kontramanifest
2292	e	->	y	/	X p	__	ns	[]	[]	5	2	0.4	0.254	pens, repens	kompens, dispens, rekompens
2371	e	->	y	/	emp	__	 y	[]	[]	5	2	0.4	0.254	empes, empedr	empeñ, emperr, empern
2677	e	->	y	/	d	__	 y	[]	[]	5	2	0.4	0.254	dent, desm	dex, desbj, deslj
2825	e	->	y	/	s	__	n y	[]	[]	5	2	0.4	0.254	sent, sent	sentr, sen, sens
603	e	->	y	/	X f	__	 y	[]	[]	19	6	0.316	0.251	manifest, konfes, aferr, infern, desaferr, ferr	afekt, efektw, enferm, feC, infekt, profes, blasfem, infest, bosifer, afe, desinfekt, defek, kontramanifest
2729	e	->	y	/	X t	__	s y	[]	[]	9	3	0.333	0.237	atest, ates, entes	kontest, protest, detest, bostes, anestesj, deskortes
24	e	->	y	/	X 	__	ns	[]	[]	13	4	0.308	0.231	pens, komens, insens, repens	kompens, tens, dispens, rekompens, prens, trens, kondens, sens, adens
170	e	->	y	/	X s	__	 y	[]	[]	134	32	0.239	0.215	sent, serr, enserr, asert, asent, sembr, deskonsert, seg, akresent, konsert, resent, soseg, asest, entreserr, desasoseg, seg, serr, apasent, traseg	present, asept, aserk, obserb, dese, represent, enseñ, konserb, pase, konsentr, ses, sentr, sen, diseñ, akonsex, reserb, sek, presensj, asentw
2360	e	->	y	/	X emp	__	 y	[]	[]	10	3	0.3	0.215	empes, desempedr, empedr	empeñ, desempeñ, atemper, emperr, kontemper, empern, temper
707	e	->	y	/	t	__	 y	[]	[]	6	2	0.333	0.214	tembl, tent	tens, tersj, templ, teC
2028	e	->	y	/	X nf	__	 y	[]	[]	6	2	0.333	0.214	konfes, infern	enferm, infekt, infest, desinfekt
2823	e	->	y	/	X em	__	n y	[]	[]	6	2	0.333	0.214	remend, sement	iNkrement, komplement, sement, suplement
2182	e	->	y	/	X ns	__	 y	[]	[]	23	6	0.261	0.208	enserr, deskonsert, konsert, insens, desenserr, ensent	enseñ, konserb, konsentr, akonsex, insendj, balanse, insert, kansel, desakonsex, konseptw, bronse, sinsel, alanse, Canse, kontrabalanse, enser, deskonseptw
2453	e	->	y	/	X 	__	st y	[]	[]	23	6	0.261	0.208	manifest, asest, enest, atest, adestr, inest	est, kontest, prest, molest, protest, rest, detest, kontrarrest, apest, aprest, arrest, infest, amonest, amaestr, estrj, kontramanifest, eNkabestr
28	e	->	y	/	X 	__	n y	[]	[]	152	50	0.329	0.208	pens, komens, sent, rekomend, kalent, asent, rebent, alent, atent, ment, tent, akresent, eNkomend, merend, resent, enmend, ensaNgrent, desalent, rekalent	entr, present, intent, represent, koment, awment, enfrent, enbj, orden, inbent, konden, aliment, eksperiment, konsentr, sentr, sen, diferensj, lament, apen
1304	e	->	y	/	X 	__	st	[]	[]	19	5	0.263	0.204	manifest, asest, enest, atest, inest	est, kontest, prest, molest, protest, rest, detest, kontrarrest, apest, aprest, arrest, infest, amonest, kontramanifest
141	e	->	y	/	X 	__	s	[]	[]	33	8	0.242	0.199	empes, konfes, atrabes, tropes, trabes, ates, desentropes, entes	regres, interes, ekspres, pes, bes, res, ses, iNgres, eNkabes, proses, progres, enderes, apres, profes, embeles, espes, bostes, desperes, aderes
1910	e	->	y	/	X as	__	 y	[]	[]	33	8	0.242	0.199	asert, asent, asest, apasent, traseg, aserr, desasert, desasent	asept, aserk, pase, asentw, almasen, asend, aseC, asedj, eskase, fantase, eksaserb, ase, aser, maser, ases, gase, parafrase, asekj, laser
1534	e	->	y	/	X en	__	 y	[]	[]	11	3	0.273	0.196	reneg, deneg, enest	xener, penetr, enbenen, bener, mene, dexener, rexener, enebr
369	e	->	y	/	as	__	 y	[]	[]	16	4	0.25	0.189	asert, asent, asest, aserr	asept, aserk, asentw, asend, aseC, asedj, ase, aser, ases, asekj, ased, asensw
2469	e	->	y	/	al	__	 y	[]	[]	7	2	0.286	0.186	alent, alebr	alex, alegr, aleg, alert, ale
2467	e	->	y	/	X al	__	 y	[]	[]	17	6	0.353	0.18	kalent, alent, desalent, rekalent, alebr, sobrekalent	alex, alegr, aleg, alert, tambale, apale, pedale, bale, ale, Capale, male
2665	e	->	y	/	X 	__	b	[]	[]	7	2	0.286	0.175	neb, desneb	eleb, subleb, seb, releb, leb
131	e	->	y	/	X 	__	s y	[]	[]	76	15	0.197	0.17	empes, manifest, konfes, atrabes, tropes, asest, enest, atest, trabes, adestr, ates, desentropes, desm, entes, inest	est, regres, kontest, interes, ekspres, pes, prest, bes, molest, meskl, res, ses, apresj, iNgres, protest, desbj, despresj, rest, eNkabes
263	e	->	y	/	X b	__	 y	[]	[]	57	11	0.193	0.16	atrabes, gobern, rebent, bent, abent, trabes, inbern, desgobern, beld, desbent, erbent	aprobeC, inbent, rebel, bes, beNg, bend, bel, desbel, alberg, eNkabes, konbers, libert, bet, nabeg, rebel, bers, nibel, solbent, bed
1913	e	->	y	/	X ab	__	 y	[]	[]	14	3	0.214	0.155	atrabes, abent, trabes	eNkabes, nabeg, aberj, deskabes, babe, alabe, aberr, abeNg, brabe, eNkabestr, eskabeC
2181	e	->	y	/	X s	__	n y	[]	[]	27	10	0.37	0.155	sent, asent, akresent, resent, apasent, insens, desent, desasent, ensent, sent	present, represent, konsentr, sentr, sen, presensj, asentw, almasen, asend, awsent, insendj, lisensj, sersen, adesent, sens, desentr, asensw
1535	e	->	y	/	en	__	 y	[]	[]	2	1	0.5	0.146	enest	enebr
2757	e	->	y	/	f	__	 y	[]	[]	2	1	0.5	0.146	ferr	feC
66	e	->	y	/	X 	__	r y	[]	[]	120	30	0.25	0.146	serr, despert, enserr, gobern, asert, enterr, aferr, deskonsert, aterr, konsert, desterr, err, desenterr, entreserr, soterr, serr, err, infern, aserr	esper, konsider, aserk, obserb, enter, super, rekuper, konserb, xener, alter, reserb, oper, eksaxer, aseler, serk, alberg, reiter, apoder, konbers
2168	e	->	y	/	X nt	__	 y	[]	[]	21	4	0.19	0.144	enterr, desenterr, deskontent, entes	intent, kontempl, kontest, enter, integr, kontent, sentensj, intern, desintegr, desmantel, reintegr, serpente, punte, galante, karpinte, adentej, kontekstw
25	e	->	y	/	X 	__	 y	[]	[]	864	140	0.162	0.135	pens, empes, komens, sent, serr, neg, despert, manifest, konfes, atrabes, enserr, apret, tembl, gobern, asert, rekomend, kalent, enterr, asent	est, dex, ked, entr, kre, esper, konsider, present, intent, eC, asept, aserk, obserb, dese, kontempl, represent, koment, regres, kontest
411	e	->	y	/	X l	__	 y	[]	[]	60	11	0.183	0.133	kalent, despleg, alent, pleg, repleg, desalent, rekalent, alebr, deslendr, pleg, sobrekalent	selebr, alex, emple, eleb, reflex, molest, alegr, komplet, aseler, pele, toler, aleg, alert, silensj, subleb, releg, tambale, dobleg, sole
925	e	->	y	/	X n	__	 y	[]	[]	59	10	0.169	0.128	neg, reneg, neb, deneg, aneg, enest, abneg, anebl, desneb, inest	xener, penetr, manex, konekt, plane, enbenen, aline, telefone, bener, mene, deskonekt, anel, berane, dexener, rexener, sane, kapitane, deline, enebr
1874	e	->	y	/	X m	__	 y	[]	[]	69	17	0.246	0.124	komens, rekomend, ment, eNkomend, enmend, siment, eskarment, desmembr, remend, reximent, salpiment, ament, kasament, desiment, desmel, enmel, sement	koment, awment, aliment, eksperiment, meskl, medj, remedj, lament, iNkrement, argument, foment, brome, atorment, komplement, asemex, me, semex, enumer, numer
16	e	->	y	/	X p	__	 y	[]	[]	67	10	0.149	0.124	pens, empes, despert, tropes, repens, desempedr, empedr, entrepern, desentropes, despern	esper, super, rekuper, pes, peg, respet, golpe, sospeC, empeñ, apen, oper, respekt, kompens, desempeñ, pek, pesk, desesper, despex, estrope
2159	e	->	y	/	X rr	__	 y	[]	[]	21	4	0.19	0.123	arrend, derreNg, desarrend, subarrend	arregl, akarre, kontrarrest, kanturre, arresj, arrest, Corre, berre, Capurre, barren, desarregl, gerre, barre, senserre, Cokarre, komorre, kotorre
1156	e	->	y	/	X r	__	n y	[]	[]	24	5	0.208	0.117	merend, ensaNgrent, arrend, desarrend, subarrend	enfrent, diferensj, fren, entren, estren, aparent, emparent, transparent, seren, amedrent, prend, rent, prens, trens, konferensj, refren, afrent, barren, enfren
362	e	->	y	/	X t	__	 y	[]	[]	114	16	0.14	0.115	tembl, enterr, atent, tent, aterr, desterr, desenterr, soterr, atest, deskontent, retembl, retent, ates, desatent, desaterr, entes	intent, kontempl, kontest, enter, detekt, integr, alter, protest, kontent, potensj, reiter, sentensj, intern, detest, sustent, altern, ostent, tens, festex
2388	e	->	y	/	X p	__	r y	[]	[]	20	3	0.15	0.109	despert, entrepern, despern	esper, super, rekuper, oper, desesper, prosper, dispers, imper, eksasper, kwoper, atemper, emperr, kontemper, empern, oper, temper, bituper
2508	e	->	y	/	X 	__	l y	[]	[]	36	5	0.139	0.108	el, desel, beld, desmel, enmel	rebel, bel, desbel, koNxel, pel, model, apel, rebel, anel, kansel, eNkarsel, nibel, desmantel, resel, kawtel, interpel, parsel, empapel, flaxel
1621	e	->	y	/	b	__	 y	[]	[]	13	2	0.154	0.104	bent, beld	bes, beNg, bend, bel, bet, bers, bed, bek, bex, bef, beNg
2659	e	->	y	/	X 	__	l	[]	[]	35	4	0.114	0.087	el, desel, desmel, enmel	rebel, bel, desbel, koNxel, pel, model, apel, rebel, anel, kansel, eNkarsel, nibel, desmantel, resel, kawtel, interpel, parsel, empapel, flaxel
792	e	->	y	/	X r	__	 y	[]	[]	146	14	0.096	0.082	apret, reg, freg, restreg, merend, ensaNgrent, arrend, refreg, derreNg, desapret, desarrend, estreg, reapret, subarrend	kre, regres, interes, entreg, enfrent, ekspres, prest, interpret, arregl, res, apresj, agreg, diferensj, iNgres, estrej, fren, entren, despresj, estreC
2454	e	->	y	/	X d	__	 y	[]	[]	57	5	0.088	0.066	dent, desdent, endent, adestr, desm	dex, konsider, rode, orden, konden, desbj, deseNkaden, ide, adekw, adentr, apoder, ebidensj, borde, model, desdeñ, parpade, moder, lade, molde
2759	e	->	y	/	f	__	r y	[]	[]	1	1	1.0	(known word)ferr	
1108	e	->	y	/		__	 y	[]	[]	13	3	0.231	0.166	el, err, err	est, entr, eC, enbj, espj, enfrj, eskj, ekspj, estrj, esC
1126	o	->	o	/		__	b y	[]	[]	3	3	1.0	0.718	obr, obj, obst	
1975	o	->	o	/		__	r y	[]	[]	3	3	1.0	0.718	or, orn, orl	
288	o	->	o	/		__	 y	[]	[]	13	10	0.769	0.666	odj, opt, obr, or, onr, obj, obst, osj, orn, orl	os, oj, olg
1926	ptw	->	ptu	/	X se	__		[]	[]	3	3	1.0	0.718	ekseptw, konseptw, deskonseptw	
2631	ptw	->	ptu	/	X konse	__		[]	[]	2	2	1.0	0.57	konseptw, deskonseptw	
14	e	->	e	/	X 	__		[]	[]	254	254	1.0	0.996	kre, dese, rode, emple, pase, golpe, ide, pele, plane, bloke, estrope, borde, akarre, aline, rekre, telefone, brome, mare, sabore	
22	e	->	e	/	X 	__	r	[]	[]	56	56	1.0	0.983	esper, konsider, enter, super, rekuper, xener, alter, oper, eksaxer, aseler, reiter, apoder, toler, desesper, bener, prosper, enumer, numer, moder	
938	e	->	e	/	X t	__		[]	[]	47	47	1.0	0.98	sorte, rebolote, pate, gate, Capote, kwarte, regate, bolte, abofete, korrete, olfate, alete, tute, manote, gote, pikote, bwikote, kokete, serpente	
710	e	->	e	/	X r	__		[]	[]	44	44	1.0	0.978	kre, akarre, rekre, mare, sabore, rastre, kolore, kanturre, Corre, tarare, atare, apare, flore, espolbore, prokre, berre, Capurre, sombre, rumore	
56	e	->	e	/	X s	__		[]	[]	34	34	1.0	0.972	dese, pase, balbuse, balanse, eskase, buse, manose, kabese, kurjose, bose, fantase, ase, false, nawse, bokse, kose, bronse, sise, gase	
423	e	->	e	/	X x	__	 y	[]	[]	31	31	1.0	0.969	suxet, eksaxer, eNxendr, obxet, koNxel, oxe, rexent, alixer, iNxenj, koxe, enaxen, oxe, Cantaxe, graNxe, flaxel, omenaxe, refrixer, kaNxe, iNxert	
532	e	->	e	/	X n	__		[]	[]	30	30	1.0	0.968	plane, aline, telefone, mene, berane, sane, kapitane, deline, ronrone, orne, ramone, kontorne, sermone, remoline, fanfarrone, aragane, mone, akorne, arpone	
178	e	->	e	/	X 	__	n	[]	[]	24	24	1.0	0.961	orden, konden, sen, apen, deseNkaden, fren, entren, estren, almasen, enbenen, pen, seren, eNkaden, desorden, sersen, enaxen, refren, oksixen, koNkaten	
82	e	->	e	/	X d	__		[]	[]	23	23	1.0	0.959	rode, ide, borde, parpade, lade, molde, bombarde, onde, alarde, xade, palade, kalde, tartamude, kode, balde, bagabunde, bade, bastarde, anade	
101	e	->	e	/	X 	__	x	[]	[]	23	23	1.0	0.959	dex, alex, reflex, kex, manex, akonsex, despex, akex, asemex, festex, semex, emparex, sex, kortex, desakonsex, aparex, boskex, motex, kotex	
133	e	->	e	/	X l	__		[]	[]	20	20	1.0	0.953	emple, pele, tambale, sole, espole, apale, pedale, tekle, bale, bambole, kole, bapule, ale, Capale, asole, kaskabele, djable, gandule, male	
751	e	->	e	/	X on	__	 y	[]	[]	19	19	1.0	0.95	konekt, telefone, deskonekt, amonest, ronrone, ramone, interkonekt, eksoner, sermone, fanfarrone, mone, amoned, arpone, bastone, bufone, kantone, dragone, timone, silofone	
779	e	->	e	/	X ar	__	 y	[]	[]	17	17	1.0	0.945	aparent, mare, emparent, transparent, emparex, tarare, atare, apare, aparex, klare, areNg, kakare, pare, bare, desparex, kare, kuCare	
116	e	->	e	/	X p	__	r	[]	[]	14	14	1.0	0.934	esper, super, rekuper, oper, desesper, prosper, imper, eksasper, kwoper, atemper, kontemper, oper, temper, bituper	
524	e	->	e	/	X 	__	d	[]	[]	14	14	1.0	0.934	ked, ered, enred, sed, bed, osped, remed, desenred, desered, depred, abobed, ased, amoned, ked	
596	e	->	e	/	X k	__		[]	[]	14	14	1.0	0.934	bloke, fraNke, arke, flaNke, blaNke, Caske, jorike, flake, biske, kloke, sejiske, Carke, Curraske, parke	
252	e	->	e	/	X 	__	C	[]	[]	13	13	1.0	0.928	eC, aprobeC, sospeC, estreC, feC, aseC, deseC, koseC, desaprobeC, despeC, teC, meC, eskabeC	
955	e	->	e	/	X x	__		[]	[]	13	13	1.0	0.928	oxe, koxe, oxe, Cantaxe, graNxe, omenaxe, kaNxe, kayxe, gorxe, burbuxe, lisoNxe, espumaxe, floxe	
1022	e	->	e	/	X ot	__		[]	[]	13	13	1.0	0.928	rebolote, Capote, manote, gote, pikote, bwikote, parlote, ximote, Cisporrote, tirote, mote, Cakote, Cikote	
1651	e	->	e	/	X on	__		[]	[]	13	13	1.0	0.928	telefone, ronrone, ramone, sermone, fanfarrone, mone, arpone, bastone, bufone, kantone, dragone, timone, silofone	
279	e	->	e	/	X 	__	ñ	[]	[]	11	11	1.0	0.916	enseñ, empeñ, diseñ, desempeñ, desdeñ, preñ, ordeñ, despeñ, desgreñ, embeleñ, empreñ	
448	e	->	e	/	X el	__	 y	[]	[]	11	11	1.0	0.916	selebr, eleb, aseler, pele, releg, deleg, embeles, releb, adelent, kaskabele, embeleñ	
517	e	->	e	/	X 	__	k	[]	[]	11	11	1.0	0.916	sek, pek, disek, ipotek, bek, desek, Cek, defek, bisek, imprek, trisek	
999	e	->	e	/	X or	__		[]	[]	11	11	1.0	0.916	sabore, kolore, flore, espolbore, rumore, tore, bitore, ore, señore, albore, pastore	
1144	e	->	e	/	X rr	__		[]	[]	11	11	1.0	0.916	akarre, kanturre, Corre, berre, Capurre, gerre, barre, senserre, Cokarre, komorre, kotorre	
1322	e	->	e	/	X et	__		[]	[]	11	11	1.0	0.916	abofete, korrete, alete, kokete, kastañete, klabete, ribete, trakete, tablete, karrete, tixerete	
84	e	->	e	/	X r	__	s	[]	[]	10	10	1.0	0.908	regres, interes, ekspres, res, iNgres, progres, enderes, apres, desperes, aderes	
175	e	->	e	/	X pr	__	s y	[]	[]	10	10	1.0	0.908	ekspres, prest, apresj, despresj, apres, presj, aprest, menospresj, depresj, desapresj	
207	e	->	e	/	X as	__		[]	[]	10	10	1.0	0.908	pase, eskase, fantase, ase, gase, parafrase, desase, frase, mase, trapase	
216	e	->	e	/	X 	__	kt	[]	[]	10	10	1.0	0.908	afekt, detekt, respekt, konekt, deskonekt, infekt, rekolekt, desinfekt, interkonekt, kolekt	
501	e	->	e	/	X kr	__	 y	[]	[]	10	10	1.0	0.908	kre, koNkret, rekre, dekret, sekret, diskrep, eNkresp, prokre, ekskret, krem	
612	e	->	e	/	X ol	__	 y	[]	[]	10	10	1.0	0.908	molest, toler, sole, espole, rekolekt, bambole, kole, kolekt, asole, bole	
1224	e	->	e	/	X an	__		[]	[]	10	10	1.0	0.908	plane, berane, sane, kapitane, aragane, kampane, debane, olgasane, xarane, mañane	
1297	e	->	e	/	X ar	__		[]	[]	10	10	1.0	0.908	mare, tarare, atare, apare, klare, kakare, pare, bare, kare, kuCare	
1777	e	->	e	/	X ap	__	 y	[]	[]	10	10	1.0	0.908	apen, apel, ape, apest, apeg, empapel, kontrapes, traspapel, Cape, trape	
623	e	->	e	/	X Nx	__	 y	[]	[]	9	9	1.0	0.898	eNxendr, koNxel, iNxenj, graNxe, kaNxe, iNxert, koNxenj, deskoNxel, lisoNxe	
772	e	->	e	/	X m	__		[]	[]	9	9	1.0	0.898	brome, me, usme, palme, ume, flame, lagrime, jame, Cisme	
1079	e	->	e	/	X rd	__	 y	[]	[]	9	9	1.0	0.898	orden, borde, bombarde, alarde, desorden, ordeñ, bastarde, akordel, kobarde	
1110	e	->	e	/	X x	__	n y	[]	[]	9	9	1.0	0.898	eNxendr, rexent, iNxenj, enaxen, oksixen, abexent, koNxenj, arxent, idroxen	
1430	e	->	e	/	X d	__	r y	[]	[]	9	9	1.0	0.898	konsider, apoder, moder, rekonsider, ponder, eNkwadern, embander, konfeder, preponder	
542	e	->	e	/	X ot	__	 y	[]	[]	20	19	0.95	0.889	protest, potensj, rebolote, Capote, manote, gote, pikote, bwikote, ipotek, parlote, ximote, motex, Cisporrote, kotex, tirote, embotej, mote, Cakote, Cikote	soterr
402	e	->	e	/	X 	__	nsj	[]	[]	8	8	1.0	0.887	diferensj, presensj, potensj, sentensj, ebidensj, silensj, lisensj, konferensj	
508	e	->	e	/	X b	__	l	[]	[]	8	8	1.0	0.887	rebel, bel, desbel, rebel, nibel, desnibel, debel, rebel	
548	e	->	e	/	X d	__	r	[]	[]	8	8	1.0	0.887	konsider, apoder, moder, rekonsider, ponder, embander, konfeder, preponder	
1051	e	->	e	/	X m	__	r y	[]	[]	8	8	1.0	0.887	enumer, numer, merm, komersj, esmer, merk, aglomer, koNglomer	
1233	e	->	e	/	X par	__	 y	[]	[]	8	8	1.0	0.887	aparent, emparent, transparent, emparex, apare, aparex, pare, desparex	
1261	e	->	e	/	X at	__		[]	[]	8	8	1.0	0.887	pate, gate, regate, olfate, garabate, pirate, bate, prorrate	
1352	e	->	e	/	X 	__	sj	[]	[]	8	8	1.0	0.887	apresj, despresj, presj, arresj, menospresj, anestesj, depresj, desapresj	
2662	e	->	e	/	X n	__	r y	[]	[]	8	8	1.0	0.887	xener, bener, dexener, rexener, remuner, insiner, eksoner, desnerb	
177	e	->	e	/	X d	__	n	[]	[]	7	7	1.0	0.872	orden, konden, deseNkaden, eNkaden, desorden, kaden, komden	
221	e	->	e	/	X p	__		[]	[]	7	7	1.0	0.872	golpe, estrope, ape, Cispe, trampe, Cape, trape	
418	e	->	e	/	X r	__	n	[]	[]	7	7	1.0	0.872	fren, entren, estren, seren, refren, barren, enfren	
882	e	->	e	/	X is	__	 y	[]	[]	7	7	1.0	0.872	diseñ, lisensj, disek, disert, sise, bisek, trisek	
941	e	->	e	/	X al	__		[]	[]	7	7	1.0	0.872	tambale, apale, pedale, bale, ale, Capale, male	
982	e	->	e	/	X s	__	k y	[]	[]	7	7	1.0	0.872	sek, obsekj, disek, desek, asekj, bisek, trisek	
1024	e	->	e	/	X 	__	j	[]	[]	7	7	1.0	0.872	estrej, sej, atropej, mej, destej, embotej, adentej	
1046	e	->	e	/	X r	__	m y	[]	[]	7	7	1.0	0.872	premj, ekstrem, apremj, rem, agremj, krem, trem	
1168	e	->	e	/	X r	__	sj	[]	[]	7	7	1.0	0.872	apresj, despresj, presj, arresj, menospresj, depresj, desapresj	
1193	e	->	e	/	X os	__		[]	[]	7	7	1.0	0.872	manose, kurjose, bose, kose, maripose, ermose, akose	
1243	e	->	e	/	X m	__	d y	[]	[]	7	7	1.0	0.872	medj, remedj, remed, komedj, medr, promedj, intermedj	
1480	e	->	e	/	X rt	__	 y	[]	[]	7	7	1.0	0.872	sorte, kwarte, kortex, flirte, akwartel, amartel, deskortes	
1613	e	->	e	/	X n	__	r	[]	[]	7	7	1.0	0.872	xener, bener, dexener, rexener, remuner, insiner, eksoner	
173	e	->	e	/	X r	__	s y	[]	[]	26	24	0.923	0.869	regres, interes, ekspres, prest, res, apresj, iNgres, despresj, rest, progres, enderes, apres, presj, kontrarrest, refresk, aprest, arresj, arrest, eNkresp	resfrj, resfrj
71	e	->	e	/	X r	__	 y	[]	[]	146	129	0.884	0.855	kre, regres, interes, entreg, enfrent, ekspres, prest, interpret, arregl, res, apresj, agreg, diferensj, iNgres, estrej, fren, entren, despresj, estreC	apret, reg, freg, restreg, merend, ensaNgrent, arrend, refreg, resfrj, derreNg, rekrj, desapret, desarrend, estreg, reapret, resfrj, subarrend
254	e	->	e	/	X 	__	d y	[]	[]	23	21	0.913	0.852	ked, medj, remedj, ered, enred, sed, asedj, bed, osped, remed, komedj, medr, promedj, desenred, intermedj, desered, depred, abobed, ased	desempedr, empedr
441	e	->	e	/	X pr	__	sj	[]	[]	6	6	1.0	0.852	apresj, despresj, presj, menospresj, depresj, desapresj	
659	e	->	e	/	pr	__	 y	[]	[]	6	6	1.0	0.852	prest, premj, presj, prend, prens, preñ	
945	e	->	e	/	X int	__	 y	[]	[]	6	6	1.0	0.852	intent, integr, intern, desintegr, reintegr, karpinte	
963	e	->	e	/	X ol	__		[]	[]	6	6	1.0	0.852	sole, espole, bambole, kole, asole, bole	
1045	e	->	e	/	X 	__	m	[]	[]	6	6	1.0	0.852	kem, ekstrem, blasfem, rem, krem, trem	
1059	e	->	e	/	X ad	__		[]	[]	6	6	1.0	0.852	parpade, lade, xade, palade, bade, anade	
1073	e	->	e	/	X 	__	dj	[]	[]	6	6	1.0	0.852	medj, remedj, asedj, komedj, promedj, intermedj	
1319	e	->	e	/	X lt	__	 y	[]	[]	6	6	1.0	0.852	alter, altern, bolte, adulter, alterk, salte	
1531	e	->	e	/	X ax	__	 y	[]	[]	6	6	1.0	0.852	eksaxer, enaxen, Cantaxe, flaxel, omenaxe, espumaxe	
1630	e	->	e	/	X br	__	 y	[]	[]	6	6	1.0	0.852	abrebj, breg, sombre, kulebre, embre, ambre	
2121	e	->	e	/	X mon	__	 y	[]	[]	6	6	1.0	0.852	amonest, ramone, sermone, mone, amoned, timone	
2271	e	->	e	/	X mp	__	r y	[]	[]	6	6	1.0	0.852	imper, atemper, emperr, kontemper, empern, temper	
622	e	->	e	/	X 	__	l	[]	[]	35	31	0.886	0.837	rebel, bel, desbel, koNxel, pel, model, apel, rebel, anel, kansel, eNkarsel, nibel, desmantel, resel, kawtel, interpel, parsel, empapel, flaxel	el, desel, desmel, enmel
271	e	->	e	/	X t	__	r	[]	[]	5	5	1.0	0.825	enter, alter, reiter, adulter, iter	
312	e	->	e	/	X m	__	dj	[]	[]	5	5	1.0	0.825	medj, remedj, komedj, promedj, intermedj	
417	e	->	e	/	X fr	__	n y	[]	[]	5	5	1.0	0.825	enfrent, fren, refren, afrent, enfren	
470	e	->	e	/	X id	__	 y	[]	[]	5	5	1.0	0.825	konsider, ide, ebidensj, aksident, rekonsider	
511	e	->	e	/	X 	__	ntr	[]	[]	5	5	1.0	0.825	entr, konsentr, sentr, adentr, desentr	
512	e	->	e	/	X ad	__	n y	[]	[]	5	5	1.0	0.825	deseNkaden, adentr, eNkaden, adens, kaden	
521	e	->	e	/	X r	__	st	[]	[]	5	5	1.0	0.825	prest, rest, kontrarrest, aprest, arrest	
527	e	->	e	/	X r	__	d	[]	[]	5	5	1.0	0.825	ered, enred, desenred, desered, depred	
549	e	->	e	/	X od	__	 y	[]	[]	5	5	1.0	0.825	rode, apoder, model, moder, kode	
680	e	->	e	/	X ord	__	 y	[]	[]	5	5	1.0	0.825	orden, borde, desorden, ordeñ, akordel	
785	e	->	e	/	X gr	__	g	[]	[]	5	5	1.0	0.825	agreg, segreg, koNgreg, disgreg, desagreg	
822	e	->	e	/	ap	__	 y	[]	[]	5	5	1.0	0.825	apen, apel, ape, apest, apeg	
823	e	->	e	/	X p	__	l	[]	[]	5	5	1.0	0.825	pel, apel, interpel, empapel, traspapel	
914	e	->	e	/	X ns	__		[]	[]	5	5	1.0	0.825	balanse, bronse, alanse, Canse, kontrabalanse	
953	e	->	e	/	X um	__	 y	[]	[]	5	5	1.0	0.825	argument, enumer, numer, dokument, ume	
966	e	->	e	/	X 	__	rs y	[]	[]	5	5	1.0	0.825	konbers, dispers, tersj, bers, komersj	
1039	e	->	e	/	X ans	__	 y	[]	[]	5	5	1.0	0.825	balanse, kansel, alanse, Canse, kontrabalanse	
1080	e	->	e	/	X rd	__		[]	[]	5	5	1.0	0.825	borde, bombarde, alarde, bastarde, kobarde	
1087	e	->	e	/	X ib	__	 y	[]	[]	5	5	1.0	0.825	libert, nibel, deliber, ibern, desnibel	
1128	e	->	e	/	X ond	__	 y	[]	[]	5	5	1.0	0.825	konden, onde, ponder, kondens, preponder	
1176	e	->	e	/	X b	__		[]	[]	5	5	1.0	0.825	titube, bombe, babe, alabe, brabe	
1312	e	->	e	/	X rs	__	 y	[]	[]	5	5	1.0	0.825	eNkarsel, intersept, sersen, parsel, deseNkarsel	
1491	e	->	e	/	X s	__	k	[]	[]	5	5	1.0	0.825	sek, disek, desek, bisek, trisek	
1625	e	->	e	/	X s	__	r	[]	[]	5	5	1.0	0.825	aser, maser, ulser, laser, enser	
1641	e	->	e	/	X m	__	r	[]	[]	5	5	1.0	0.825	enumer, numer, esmer, aglomer, koNglomer	
1865	e	->	e	/	X kot	__	 y	[]	[]	5	5	1.0	0.825	pikote, bwikote, kotex, Cakote, Cikote	
2272	e	->	e	/	X emp	__	r y	[]	[]	5	5	1.0	0.825	atemper, emperr, kontemper, empern, temper	
2768	e	->	e	/	X ox	__	 y	[]	[]	5	5	1.0	0.825	oxe, koxe, oxe, floxe, idroxen	
251	e	->	e	/	X sp	__	 y	[]	[]	18	16	0.889	0.813	esper, respet, sospeC, respekt, desesper, despex, despeg, prosper, dispens, dispers, eksasper, osped, espes, despeC, despeñ, Cispe	despert, despern
21	e	->	e	/	X d	__	 y	[]	[]	57	49	0.86	0.807	dex, konsider, rode, orden, konden, deseNkaden, ide, adentr, apoder, ebidensj, borde, model, desdeñ, parpade, moder, lade, molde, bombarde, eNkaden	desbj, adekw, dent, desdent, deslj, endent, adestr, desm
323	e	->	e	/	X gr	__	 y	[]	[]	11	10	0.909	0.805	regres, agreg, iNgres, progres, segreg, koNgreg, desgreñ, disgreg, agremj, desagreg	ensaNgrent
